Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,
PaidSocial_Mar2021_Placeholder 1,00577FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654427,WindingDownV2,LIVE
PaidSocial_Mar2021_Placeholder 2,00578FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654428,LSJacquelineV2,LIVE
PaidSocial_Mar2021_Placeholder 3,00579FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654430,NewYearsWorkout,
PaidSocial_Mar2021_Placeholder 4,00573FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654207,HowMuchSugar,LIVE
PaidSocial_Mar2021_Placeholder 5,00574FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654208,OrderDelivered,LIVE
PaidSocial_Mar2021_Placeholder 6,00575FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654211,PROPERPOV,
PaidSocial_Mar2021_Placeholder 7,00576FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654431,StopDrinkingBadWine,
PaidSocial_Mar2021_Placeholder 8,00565FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654212,SugaryDrinks --> Nat UGC Drinking Your Sugar,LIVE
PaidSocial_Mar2021_Placeholder 9,00566FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654215,UsvThemV2,LIVE
PaidSocial_Mar2021_Placeholder 10,00567FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654218,LowSugarUsvThem-Renabled,LIVE
