Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,
Get'cha Head In The Game (Leads),MADNESS23 ,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,$24.95,$39.00,3/14/2023,4/3/2023,Get'cha 4 bottles for $24.95. Use code MADNESS23 at checkout,6953598,KP
Get'cha Head In The Game ,MADNESS2023 ,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$35.00,3/14/2023,4/3/2023,Come back and get 4 bottles for $29.95. Use code MADNESS2023 at checkout,6953603,KP
Get'cha Head In The Game ,2023MADNESS ,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$34.95,$34.95,$30.00,3/14/2023,4/3/2023,Come back and get 4 bottles for $34.95.  Use code 2023MADNESS at checkout,6953604,KP
Get'cha Head In The Game get 4 🍷for $24.95 ,23MADNESS,Winc,Non-Gifting,SMS,,Dynamic Discount,10000,$24.95,$24.95,$39.00,3/14/2023,4/3/2023,Get'cha Head In The Game get 4 🍷for $24.95 with code 23MADNESS,6953606,KP
"10% off 6+ bottles, Luck of the Irish 
",LUCKOTHEIRISH ,Winc,Non-Gifting,Email,,Percentage Off,10000,,10%,,3/14/2023,3/14/2023,Feeling lucky? Get 10% off 6+ bottles! // Today Only for St. Patty’s Day. Use code LUCKOTHEIRISH at checkout,6953607,KP
"10% off 6+ bottles, Luck of the Irish 
",TEXTOFTHEIRISH,Winc,Non-Gifting,SMS,,Percentage Off,10000,,10%,,3/14/2023,3/14/2023,We're offering a deal so good it's almost as if the leprechauns left a pot of gold on our doorstep with 10% 6+ bottles with code TEXTOFTHEIRISH,6953608,KP
"[Member] April Showers, Wine Flowers ",APRILSHOWERS23,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$34.00,4/24/2023,5/1/2023,Get 4 bottles for $29.95. Use promo code APRILSHOWERS23 at checkout,6955426,LS
"April Showers, Wine Flowers ",23APRILSHOWERS,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$34.00,4/24/2023,5/1/2023,Get 4 bottles for $29.95. Use promo code 23APRILSHOWERS at checkout,6955430,LS
"April Showers, Wine Flowers [SMS]",APRIL23SHOWERS,Winc,Non-Gifting,SMS,,Dynamic Discount,10000,$29.95,$29.95,$34.00,4/26/2023,5/1/2023,"Rain, rain, go away! ☔ or ☀️Get 4 🍷for $29.95 with code APRIL23SHOWERS
",6955433,LS
Uncork a World of Flavor with Winc,AMASSxWINC,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,$24.95,$39.00,3/3/2023,3/28/2023,Get 4 bottles for $29.95. Use code AMASSxWINC at checkout,6956026,LS
