Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Platform,Channel,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Link,Long Link,UTM Source,UTM Medium,
Growth Partner: ROKT Cyber Monday,RoktxWinterBlowout,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,12/5/2022,12/17/2022,Winter Blowout! Get 4 bottles for just $24.95! Discount applied at checkout.,6905533,,,,,
Growth Partner: ROKT OOO Special,RoktxOOOSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,12/25/2022,12/31/2022,Out of Office Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6879474,NEEDURLFROMLINDSEY.com,NEEDURLFROMLINDSEY.com?caid=6879474&utm_source=GrowthPartner&utm_medium=ROKT,&utm_source=GrowthPartner,&utm_medium=ROKT,
Growth Partner: ROKT New Year's Day,RoktxNewYear,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,20.23,20.23,42,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for just $20.23! Discount applied at checkout.,6333527,NEEDURLFROMLINDSEY.com,NEEDURLFROMLINDSEY.com?caid=6333527&utm_source=GrowthPartner&utm_medium=ROKT,&utm_source=GrowthPartner,&utm_medium=ROKT,
"Growth Partner: ROKT New Year, New Me",RoktxNewMe,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me Special! Get 4 bottles for just $28.95! Discount applied at checkout.",6879482,NEEDURLFROMLINDSEY.com,NEEDURLFROMLINDSEY.com?caid=6879482&utm_source=GrowthPartner&utm_medium=ROKT,&utm_source=GrowthPartner,&utm_medium=ROKT,
Growth Partner: Holiday Special,HolidayPartnerSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,11/1/2022,12/31/2022,Get 4 bottles for just $24.95! Discount applied at checkout.,6879478,NEEDURLFROMLINDSEY.com,NEEDURLFROMLINDSEY.com?caid=6879478&utm_source=GrowthPartner&utm_medium=ROKT,&utm_source=GrowthPartner,&utm_medium=ROKT,
Growth Partner: Direct Mailer Nov,holiday,Winc,Non-Gifting,,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6284134,LS,,,,
Influencer: Internal: Hayden Cohen ,hayderz,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6353021,https://drink.winc.com/holiday-22-early-bfcm,,,,LS
Influencer: Internal: Natalie Mason,nataliemason,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6609399,https://drink.winc.com/holiday-22-early-bfcm,,,,LS
Influencer: Internal: Taylor Brown,taylorbrown,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6448291,https://drink.winc.com/holiday-22-early-bfcm,,,,LS
Influencer: Internal: Alexis Wolfe,nycdatenite,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6002792,https://drink.winc.com/holiday-22-early-bfcm,,,,LS
Influencer: Internal: Sydney Ferbrache,divineontheroad,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6023822,https://drink.winc.com/holiday-22-early-bfcm,,,,LS
Influencer: Internal: Jenn Todryk,jenntodryk,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,12/05/2022,12/17/2022,Jenn Todyrk is getting you 4 bottles for $24.95 + shipping's on us. Discount applied at checkout.,6091197,,,,,LS
Influencer: Internal: Defined Dish,defineddish,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,12/05/2022,12/17/2022,Winter Blowout! Get 4 bottles for just $24.95! Discount applied at checkout.,6090001,,,,,LS
Influencer: Internal: Stephanie Joplin,bwc,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,12/05/2022,12/17/2022,Winter Blowout! Get 4 bottles for just $24.95! Discount applied at checkout.,6016454,,,,,LS
