 Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,URL (LM use)
PaidSocial_Mar2021_Placeholder 1,00577FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654427,WindingDownV2,LIVE
PaidSocial_Mar2021_Placeholder 2,00578FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654428,LSJacquelineV2,LIVE
PaidSocial_Mar2021_Placeholder 3,00579FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654430,NewYearsWorkout,
PaidSocial_Mar2021_Placeholder 4,00573FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654207,HowMuchSugar,LIVE
PaidSocial_Mar2021_Placeholder 5,00574FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654208,OrderDelivered,LIVE
PaidSocial_Mar2021_Placeholder 6,00575FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654211,PROPERPOV,
PaidSocial_Mar2021_Placeholder 7,00576FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654431,StopDrinkingBadWine,
PaidSocial_Mar2021_Placeholder 8,00565FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654212,SugaryDrinks --> Nat UGC Drinking Your Sugar,LIVE
PaidSocial_Mar2021_Placeholder 9,00566FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654215,UsvThemV2,LIVE
PaidSocial_Mar2021_Placeholder 10,00567FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654218,LowSugarUsvThem-Renabled,LIVE
PaidSocial_Mar2021_Placeholder 11,00568FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654219,Vanessa Split Screen,LIVE
PaidSocial_Mar2021_Placeholder 12,00569FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654222,Nat UGC Additives,LIVE
PaidSocial_Apr2021_Placeholder 1,00600FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687139,New Branding - Co Host - Low Sugar,
PaidSocial_Apr2021_Placeholder 2,00601FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687146,New Branding - Co - Host - No LS,
PaidSocial_Apr2021_Placeholder 3,00602FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687149,New Branding - Friends,
PaidSocial_Apr2021_Placeholder 4,00603FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687152,New Branding - Game Night,
PaidSocial_Apr2021_Placeholder 5,00604FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687155,New Branding - Hosting Hassle,
PaidSocial_Apr2021_Placeholder 6,00605FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687160,PROPER - UsvsThem,
PaidSocial_Apr2021_Placeholder 7,00606FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687163,,
PaidSocial_Apr2021_Placeholder 8,00607FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687167,,
PaidSocial_Apr2021_Placeholder 9,00608FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687192,TOP - LowSugarUsvThem_Reenabled,
PaidSocial_Apr2021_Placeholder 10,00609FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687197,TOP - VanessaUsvsThem,
PaidSocial_Apr2021_Placeholder 11,00610FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687200,Reels - Swirling,
PaidSocial_Apr2021_Placeholder 12,00611FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687203,Reels - Work Day,
M015ga-e:2799162 - Wine Club - Exact,62600GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689219,,
