Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,CAID,,Notes,,
[Member] Holiday Hoster 6-Pack 2022,2022FALL,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,11/1/2022,11/11/2022,20796935,,KKR,,
[Member] Let it Flow 6-Pack 2022,LETITFLOW5,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,12/6/2022,12/17/2022,20796942,,KKR,,
[Reactivation] Early BF,2022EARLYBF,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$34.00,11/14/2022,11/23/2022,6879376,,KKR,,
[Reactivation] Black Friday ,2022BFRIDAY,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$34.00,11/24/2022,11/25/2022,6879380,,KKR,,
[Reactivation] Cyber Week,22CYBERSTOCK,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$29.95,$29.95,$34.00,11/27/2022,12/03/2022,6879385,,KKR,,
"[Member] New Year, No Sugar 6-Pack 2023",SUGARFREE5,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,1/2/2022,1/13/2022,6934583,,LS,,
The Winc Gift Shop Insert,WINCGIFT,Winc,Non-Gifting,Print,,Dynamic Discount,10000,$29.95,$29.95,$34.00,11/1/2022,12/31/2030,6887304,,LS,,
[Member] Early BF Mix&Match SMS,SMSBYOB,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,11/21/2022,11/24/2022,Black Friday starts NOW!. Take 15% off 12 Bottles with code BYOB15. ,20796887,KKR ,6913331,LS
[Member] BF/CM Mix&Match,BYOBSMS,Winc,Non-Gifting,Email,,Percentage Off,10000,,10%,,11/25/2022,11/29/2022,Our Biggest Discount of the Year. Take 20% off 12 Bottles with code BYOB20. ,20796903,KKR ,6913347,LS
"[Non-Member] New Year, No Sugar",SUGARFREE23,Winc,Non-Gifting,Email,,Dynamic Discount,100000,$28.95,$28.95,$33.00,1/2/2023,1/14/2023,6934590,6934590,LS,,
"[Member] New Year, No Sugar 12-Pack 2023",SUGARFREE15,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,1/2/2022,1/13/2022,6935760,6935760,LS,,
